1	1;55
1	4;48
3	0;34
3	1;50
3	2;26
3	3;18
3	3;28
3	4;09
4	1;49
4	1;56
4	2;25
4	2;24
4	2;56
4	3;22
4	4;02
4	4;39
5	0;26
5	1;26
5	1;51
6	1;47
6	2;59
7	0;59
7	1;12
7	1;37
7	1;51
7	2;30
7	2;46
7	2;57
7	3;18
7	3;23
7	4;00
7	4;20
7	5;26
7	5;45
7	6;08
7	6;12
7	6;24
7	6;45
8	0;16
8	0;25
8	1;30
8	1;49
8	2;16
8	2;32
8	3;00
8	3;52
8	4;14
8	4;37
8	4;49
8	4;59
8	5;10
9	0;57
9	1;05
9	3;03
9	3;51
9	4;30
9	4;38
9	4;47
9	6;22
9	6;35
9	6;42
9	7;17
9	7;35
9	7;40
9	8;21
9	8;34
9	9;20
9	9;51
9	10;17
10	1;32
10	2;13
10	3;14
10	3;29
10	3;39
10	3;48
10	3;52
10	4;26
10	4;39
10	4;46
10	4;55
10	5;03
10	5;31
12	0;52
12	1;26
12	2;02
12	2;31
12	2;53
12	3;12
12	4;50
12	4;56
13	1;41
13	1;51
13	2;02
13	4;32
13	5;53
13	7;10
13	7;25
13	7;33
13	9;02
13	9;27
13	9;49
13	10;17
13	10;26
13	10;34
13	10;36
13	10;43
14	0;13
14	0;37
14	0;38
14	0;53
14	1;46
14	1;52
14	2;37
14	2;42
14	2;54
14	3;43
14	4;20
15	0;57
15	1;58
15	2;07
15	2;32
15	3;25
15	4;12
15	4;24
15	4;38
15	4;57
15	5;09
15	5;26
15	6;04
15	6;12
15	6;46
15	6;57
15	7;15
15	8;50
16	3;02
16	5;35
16	6;08
16	6;47
16	6;56
16	8;25
16	8;50
18-1	0;33
18-1	0;39
18-1	3;04
18-1	3;26
18-1	3;35
18-1	3;46
18-1	3;52
18-1	4;18
18-1	4;27
18-1	4;48
18-1	5;30
18-1	6;10
18-1	6;31
18-1	6;52
18-1	7;03
18-1	7;22
18-1	7;47
18-1	7;58
18-1	8;23
18-1	8;26
18-2	0;53
18-2	1;09
18-2	1;44
18-2	1;49
18-2	2;24
18-2	2;27
18-2	2;37
19	0;42
19	1;00
19	1;18
19	2;49
19	3;28
19	4;51
20	1;15
20	1;57
20	2;28
20	2;51
20	3;04
20	3;35
20	4;42
20	4;33
22	1;31
22	1;39
22	1;46
22	1;51
22	1;55
22	2;08
22	2;57
22	3;27
22	4;58
22	5;26
22	5;41
22	6;02
22	7;05
22	7;31
22	7;36
23	0;59
23	1;17
23	3;04
23	4;05
23	5;30
23	5;44
23	6;06
23	6;10
24	0;18
24	1;13
24	1;18
24	1;44
24	1;56
24	2;08
24	2;12
24	2;18
24	2;37
24	2;50
24	3;17
24	3;24
24	3;56
24	4;23
24	4;34
24	5;37
24	5;48
25	1;02
25	1;40
25	2;31
25	2;48
25	3;11
25	4;27
25	5;17
25	5;19
25	5;59
25	6;06
25	6;31
25	6;36
25	6;42
25	6;50
25	6;55
25	6;58
25	7;16
25	7;29
26	0;42
26	1;19
26	1;26
26	1;34
26	1;42
26	2;13
26	2;19
26	2;27
26	2;44
26	3;01
26	3;26
26	3;32
26	3;38
26	3;46
26	4;00
26	4;28
26	4;36
26	4;42
27	1;03
27	1;20
27	1;24
27	2;35
27	2;50
27	2;54
27	3;19
27	4;11
27	4;40
27	4;47
28	1;13
28	2;12
28	2;33
28	3;07
28	3;53
28	4;10
30	0;39
30	0;54
30	1;16
30	1;49
30	2;01
30	2;38
30	2;52
30	3;48
30	5;13
30	5;38
30	5;50
31	0;27
31	1;03
31	1;06
31	1;34
31	1;39
31	1;54
31	2;11
31	2;33
31	2;36
31	3;01
31	3;34
31	3;58
31	4;19
31	4;37
31	4;45
31	5;14
31	5;26
31	5;34
31	5;51
31	5;57
32	0;27
32	0;41
32	0;50
32	1;13
32	1;23
32	2;08
32	2;26
32	2;54
32	3;17
32	3;41
33	1;08
33	1;19
33	1;34
33	2;32
33	2;54
33	3;20
33	3;56
33	4;06
33	4;08
33	4;24
33	4;50
33	5;48
33	6;00
34	0;47
34	1;08
34	1;17
34	1;27
34	1;54
34	2;56
34	3;21
34	3;34
34	3;58
35	0;25
35	0;45
35	0;53
35	1;03
35	1;31
35	1;44
35	2;17
35	2;32
35	2;33
35	2;34
35	2;45
35	2;56
35	3;04
35	4;30
35	4;48
